Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
77.56267112388967,999999817.375,12.5,300,17
99.20875495382747,999999809.375,9.375,200,0
190.239284315511,1000000084.75,234.375,400,34
192.6072633944669,999999625.0,25.0,400,0
105.25904598109048,1000000012.875,25.0,200,34
79.26272470187949,999999831.25,31.25,200,0
238.55831758770213,999999681.25,81.25,400,0
267.0481865418116,999999950.0,50.0,100,0
219.98166733889965,999999791.0,62.5,400,34
242.71366476932872,999999687.5,87.5,400,0
232.8335019630028,1000000864.25,62.5,300,17
257.6386010037536,999999804.875,21.875,200,17
133.82377719093333,999999817.375,34.375,200,17
172.43013532407087,999999969.125,37.5,300,34
213.4050196806589,999999587.875,21.875,400,34
284.2121752003594,999999618.75,118.75,500,0
136.28651276451603,999999908.0,125.0,200,17
111.90170697561244,999999414.25,31.25,600,17
286.6908303048069,999999820.5,37.5,200,17
114.09615915902499,999999815.625,15.625,200,0
35.04048877437527,999999837.5,37.5,200,0
290.71657043192306,999999681.25,81.25,400,0
221.6390685784781,1000000031.625,31.25,200,34
174.1347360563276,999999629.875,46.875,400,17
171.2858257195028,999999850.0,50.0,200,0
256.4870605680839,999999734.375,34.375,300,0
198.51644976094846,1000000003.5,9.375,100,34
217.0346527190816,999999737.5,37.5,300,0
32.02835813719485,999999691.0,25.0,300,34
201.52235556085964,999999876.75,93.75,200,17
281.5914191763391,999999765.625,65.625,300,0
239.7419355195257,999999581.25,81.25,500,0
210.23402297706585,999999695.875,46.875,300,51
4.356298929682531,999999983,0,0,17
159.03325622724478,999999798.625,15.625,200,17
28.87342525324861,999999668.75,68.75,400,0
7.288513574994073,999999912.5,12.5,100,0
61.79496732812639,999999812.5,12.5,200,0
188.37303641395496,999999472.25,106.25,600,34
240.1086057567424,999999747.25,81.25,300,34
106.61660035907073,999999703.5,37.5,300,34
120.05051413969763,999999806.25,6.25,200,0
208.85327292882417,999999826.75,43.75,200,17
276.5797290537066,999999934.375,34.375,100,0
138.46986041888718,999999937.5,37.5,100,0
106.06700201245249,999999821.875,21.875,200,0
207.47220889853438,999999792.375,9.375,200,17
79.64828514697173,999999791.0,25.0,200,34
132.97615551727608,999999715.625,15.625,300,0
156.07767134462304,999999814.25,31.25,200,17
103.80166633893408,999999626.75,43.75,400,17
244.33587083662587,999999909.75,43.75,100,34
244.82737419530912,999999804.875,121.875,300,17
72.0471901510924,999999576.75,93.75,500,17
16.883960272395115,999999778.5,12.5,200,34
12.915046727781418,999999906.25,6.25,100,0
264.44800466037213,999999895.5,12.5,100,17
221.91714099717723,999999808.0,25.0,200,17
289.1713459834455,999999892.375,9.375,100,17
154.26039248900022,999999951.75,168.75,200,17
115.33469442486657,999999795.5,12.5,200,17
72.76631595077141,999999675.0,75.0,400,0
29.27400392241511,999999618.75,18.75,400,0
15.640557610306178,999999825.0,25.0,200,0
132.5120560947272,999999978.125,178.125,200,0
20.075626612227698,999999828.5,62.5,200,34
234.66947339529497,999999804.875,121.875,300,17
187.489129576705,999999801.75,18.75,200,17
157.09559128121612,999999903.125,3.125,100,0
270.3004739280594,999999964.25,81.25,100,17
200.73025024125582,999999926.75,43.75,100,17
259.6765365916641,999999878.125,78.125,200,0
233.24986228231302,999999950.0,50.0,100,0
109.56424239265415,999999792.375,9.375,200,17
200.63671820850604,999999818.75,18.75,200,0
121.04858360564894,999999620.5,37.5,400,17
142.48025525559993,999999556.25,56.25,500,0
193.8142844945686,999999812.5,12.5,200,0
67.10817296879222,999999840.625,40.625,200,0
168.03770521143554,999999825.0,25.0,200,0
190.8186889993096,999999797.25,31.25,200,34
58.64694179692841,999999740.625,40.625,300,0
99.57843258119875,999999708.0,25.0,300,17
264.7154480064374,999999518.75,118.75,600,0
137.91816925504585,999999694.125,28.125,300,34
146.8419544784939,999999840.625,40.625,200,0
187.09733454679684,999999709.75,143.75,400,34
111.35301824344678,999999762.5,62.5,300,0
215.88682095088703,999999456.25,56.25,600,0
52.63503139653565,999999604.875,21.875,400,17
213.81924423286273,999999811.125,28.125,200,17
51.28335585151711,999999846.875,46.875,200,0
114.02936387585405,999999769.125,103.125,300,34
103.49741131189023,999999737.5,37.5,300,0
38.196289931217095,999999801.75,18.75,200,17
207.52360806860582,999999715.625,15.625,300,0
299.77517307814145,1000000014.25,331.25,300,17
50.00562490691099,999999786.5,37.5,200,51
8.491244873020992,999999872.25,6.25,100,34
90.6579715686902,999999943.75,143.75,200,0
