Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
173.29412280143285,999999875.0,75.0,200,0
30.374139669704288,1000000030.875,137.5,200,16
191.41705728378122,999999921.875,21.875,100,0
165.4091752933294,1000000008.625,75.0,400,32
177.2759857846915,999999980.875,193.75,400,16
82.43729052242722,999999728.125,28.125,300,0
183.88531781114503,999999731.25,31.25,300,0
238.3590721809437,999999756.25,56.25,300,0
95.98506155815588,999999912.125,21.875,200,16
181.6098246848358,1000000062.125,15.625,100,16
52.27893853481557,999999615.25,31.25,400,16
114.77493155887338,999999718.75,18.75,300,0
197.59120919461293,999999806.25,6.25,200,0
177.46297395138387,999999756.25,56.25,300,0
230.3902245557297,999999753.125,53.125,300,0
34.51299374257075,999999606.25,106.25,500,0
79.21292636043664,999999692.625,40.625,300,48
287.28394175653847,999999906.25,106.25,200,0
94.01054838203927,999999880.875,18.75,300,16
46.85672050537163,999999611.75,43.75,400,32
13.394899877267767,999999887.125,3.125,100,16
223.97070214427535,1000000049.625,6.25,100,16
96.4108795983539,999999750.0,50.0,300,0
181.1954363649558,999999759.0,75.0,300,16
45.03602404085518,999999912.5,112.5,200,0
4.472364948758626,1000000000,0,0,0
105.84167396192814,999999737.5,37.5,300,0
207.91972964609798,999999580.125,28.125,400,48
171.92744870685172,999999621.5,37.5,400,16
178.52857850107196,1000000046.125,278.125,200,32
196.75616861127855,999999987.5,87.5,100,0
99.32760449215208,999999615.25,31.25,400,16
104.0524525330319,1000000709.0,18.75,300,16
94.63138725078043,999999715.625,15.625,300,0
293.7122901799979,999999815.25,31.25,200,16
230.13514454841354,999999825.0,25.0,200,0
165.2475097896349,1000000024.625,140.625,100,16
90.63300167580296,999999843.75,43.75,200,0
270.5096503450098,999999943.375,59.375,100,16
124.9476570735633,999999655.5,87.5,400,32
4.306999708406145,1000000000,0,0,0
234.68817820146504,999999928.125,28.125,100,0
262.3552485034716,999999850.0,150.0,300,0
71.51672197843223,999999818.75,18.75,200,0
70.69640436849203,999999505.875,21.875,500,16
192.00524692328375,999999906.25,6.25,100,0
137.61094866931708,999999777.375,9.375,200,32
243.39620084901026,999999783.625,15.625,200,32
184.66895824640497,999999818.375,34.375,200,16
266.31711302069476,999999578.125,78.125,500,0
126.85300634144461,999999705.875,21.875,300,16
50.93728733376811,999999687.5,87.5,400,0
272.3699723217337,999999749.625,65.625,300,16
20.36243434851783,999999837.5,37.5,200,0
153.25769197935773,999999815.625,15.625,200,0
133.94056478033187,999999752.75,68.75,300,16
282.3761154814715,999999896.875,96.875,200,0
290.26982856574034,999999809.375,9.375,200,0
140.11504257507346,999999818.75,18.75,200,0
124.49118881085607,999999859.375,159.375,300,0
27.050745219753864,999999575.0,75.0,500,0
199.16972235464291,999999862.5,62.5,200,0
112.67274057318853,999999327.0,75.0,700,48
140.99622645925203,999999731.25,231.25,500,0
103.87887249783773,999999725.0,25.0,300,0
257.9367069471924,999999537.125,53.125,500,16
158.92992266919924,999999818.75,18.75,200,0
186.14703532672462,999999592.25,56.25,400,64
80.20945974421412,999999887.5,187.5,300,0
149.6313485715238,999999705.875,21.875,300,16
298.732624593277,999999796.875,96.875,300,0
154.2080416906971,999999918.75,18.75,100,0
79.00473041754128,999999825.0,25.0,200,0
78.91096190491619,999999612.125,28.125,400,16
273.44627627778766,999999818.375,34.375,200,16
215.12692075632273,999999928.125,28.125,100,0
8.376895580824913,999999793.0,25.0,200,32
157.56344482912013,999999702.75,18.75,300,16
237.15191252685395,999999806.25,6.25,200,0
66.71509232465031,999999711.75,43.75,300,32
201.96107217648412,999999802.75,18.75,200,16
64.56730700314436,999999743.375,59.375,300,16
83.75712479109895,999999731.25,31.25,300,0
241.78704745508006,999999893.375,109.375,200,16
290.13449144282725,999999796.875,196.875,400,0
226.76601949257235,999999818.75,18.75,200,0
218.66892029874597,999999815.625,15.625,200,0
15.783005703488339,999999821.5,37.5,200,16
110.6668843948383,999999927.375,59.375,100,32
195.40715346351354,999999605.875,21.875,400,16
288.24190942242,999999831.25,31.25,200,0
235.64372343961264,999999815.625,15.625,200,0
87.03893485765091,999999902.75,18.75,100,16
230.3675992366201,999999799.625,15.625,200,16
74.9519501278492,999999540.625,40.625,500,0
78.11972130651591,999999721.5,37.5,300,16
166.90347942928256,999999821.5,37.5,200,16
206.26229210975487,999999753.125,53.125,300,0
97.44860203959654,999999693.0,25.0,300,32
57.08270764181832,999999812.5,12.5,200,0
