Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
213.91293664035396,1000000023.625,56.25,200,17
102.0284149410162,999999818.75,18.75,200,0
6.728441597051311,1000000000,0,0,0
127.71487239537373,999999914.25,25.0,200,17
55.65020935277256,999999798.625,25.0,400,17
215.56252345416004,999999934.375,34.375,100,0
5.961279054329423,1000000000,0,0,0
61.76139683409925,999999937.5,37.5,100,0
295.8804497017663,1000000008.0,81.25,200,17
169.3633423630276,999999698.625,15.625,300,17
219.7856005722491,1000000183.0,396.875,400,17
65.83281119839063,1000000930.4375,25.0,200,68
167.5047258554957,999999643.75,43.75,400,0
73.90822332045148,999999795.5,12.5,200,17
290.7057187996448,999999812.6875,29.6875,200,17
174.97801421882698,999999912.5,12.5,100,0
126.47793706759481,999999862.5,62.5,200,0
11.308764232108745,999999912.5,12.5,100,0
268.2647519220691,999999723.625,40.625,300,17
195.28477189597345,999999843.75,43.75,200,0
299.8491518719368,999999862.5,62.5,200,0
220.27356779645936,999999708.0,25.0,300,17
291.26325675643704,999999900.1875,17.1875,100,17
227.89376153924002,999999731.625,25.0,400,34
32.50028810710395,999999837.5,37.5,200,0
17.205816145200423,999999701.75,18.75,300,17
41.48807585420453,999999815.625,15.625,200,0
59.46216653585188,999999818.75,18.75,200,0
49.422817041532156,999999701.75,18.75,300,17
296.96404511221823,999999795.5,12.5,200,17
148.23450640589448,999999687.5,87.5,400,0
195.1909689567858,999999750.0,50.0,300,0
167.16299779877374,999999806.25,6.25,200,0
118.79846781712592,999999712.5,12.5,300,0
193.7919618168485,999999723.625,40.625,300,17
111.27662754860374,999999529.875,46.875,500,17
17.341687512863633,999999750.0,50.0,300,0
269.23294454908955,999999814.25,31.25,200,17
230.51595811246136,999999520.875,71.875,500,51
64.2135664129827,999999725.0,25.0,300,0
40.00587559431285,999999597.25,31.25,400,34
238.014406645075,999999778.5,12.5,200,34
111.66618653293885,999999631.25,31.25,400,0
52.90970837601995,999999637.5,37.5,400,0
215.73990356842484,999999803.5,37.5,200,34
118.83065248368341,1000000101.75,218.75,100,17
234.31015359774509,999999823.625,40.625,200,17
109.18851054219964,999999631.25,31.25,400,0
253.42509846250266,999999656.25,56.25,400,0
215.34018353843618,999999734.375,34.375,300,0
196.0274765443026,999999767.75,18.75,200,51
128.89873429955054,999999821.875,21.875,200,0
39.1796946919309,999999734.375,34.375,300,0
195.1106479950267,999999721.875,21.875,300,0
128.9455125674836,999999812.5,12.5,200,0
272.3990404331893,999999906.25,6.25,100,0
252.15287737236554,999999820.5,37.5,200,17
188.85642987762296,999999740.625,40.625,300,0
100.41583155159138,999999778.5,12.5,200,34
263.5192164052868,999999492.375,109.375,600,17
97.74060412969875,999999718.75,18.75,300,0
49.78302692852642,999999825.0,25.0,200,0
172.7763952154579,999999795.5,12.5,200,17
267.78902717613795,999999734.375,34.375,300,0
281.77234392627645,999999836.3125,70.3125,200,34
256.0751558316231,999999887.875,121.875,200,34
154.71935168181219,999999733.0,50.0,300,17
176.56291248758956,999999820.5,37.5,200,17
189.08536743438722,999999931.25,131.25,200,0
64.3982887046614,999999516.0,150.0,600,34
63.386407148272276,999999601.75,18.75,400,17
88.53406449568263,999999550.0,50.0,500,0
198.03861786703942,999999890.625,190.625,300,0
76.03630727576326,999999825.0,25.0,200,0
9.842903126488666,999999895.5,12.5,100,17
261.5705070681658,1000000070.3125,270.3125,200,0
185.8700377738704,999999915.625,15.625,100,0
121.21569027359837,999999831.625,65.625,200,34
163.04302203540905,999999675.375,9.375,300,34
143.88650300079752,999999871.875,71.875,200,0
136.72024743398,999999720.5,37.5,300,17
72.75293699870598,999999701.75,18.75,300,17
256.7096645018149,999999908.0,125.0,200,17
178.8497895855502,999999798.625,15.625,200,17
22.165940058738578,999999708.0,25.0,300,17
212.8177511213767,999999958.0,75.0,100,17
291.2705928546802,1000000037.875,171.875,100,34
252.69175056541306,999999796.875,96.875,300,0
202.88268612174363,999999807.8125,7.8125,200,0
293.08607776504914,999999750.0,50.0,300,0
193.781644400173,999999925.0,25.0,100,0
209.12613123065861,999999795.875,46.875,200,51
195.39518428678127,999999723.625,40.625,300,17
249.0667372002896,999999746.875,46.875,300,0
254.80080477334954,999999591.0,25.0,400,34
187.62761684270149,999999898.625,15.625,100,17
273.95471886066895,999999618.75,18.75,400,0
32.94505652246507,999999891.0,25.0,100,34
89.84304142166413,999999906.25,6.25,100,0
265.1788505113369,999999706.625,40.625,300,34
