Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
345.63092237502667,999999639.375,150.0,900,45
65.62830181307685,999999660.625,115.625,800,30
168.92969329962904,999999671.875,71.875,400,0
254.07397221951578,999999658.75,78.125,700,60
161.082602004903,999999634.6875,160.9375,600,45
231.21451129662486,1000000829.6875,46.875,700,75
223.38419263360115,999999528.125,228.125,700,0
19.07001294405506,1000000344.375,62.5,800,15
245.25691693341457,999999085.3125,160.9375,1400,60
28.781134932593215,999999545.0,75.0,500,30
282.01984963354926,999999712.8125,109.375,600,45
182.79743765786898,999999508.4375,598.4375,1000,90
1.2107975458464444,999999985,0,0,15
32.05748463281111,999999093.125,53.125,900,60
59.99588094288216,999998951.25,81.25,1100,30
142.90685423526347,999999543.125,53.125,700,60
16.865085838019244,999999778.125,78.125,300,0
63.614898118030084,999999345.625,65.625,1000,45
157.7818662109397,999999418.125,78.125,700,60
235.4259764643341,999999395.625,240.625,800,45
10.269538317975515,999999780.625,25.0,300,60
107.62360347986588,999999565.0,25.0,400,60
178.15669265854453,999999647.5,62.5,400,15
89.94718249124456,999999130.0,275.0,1100,45
135.11627844301202,999999942.1875,81.25,800,75
216.70201520529648,999999422.5,37.5,600,15
255.15715662305854,999999670.625,215.625,500,45
11.688121309009192,999999683.75,43.75,300,60
259.1466010713578,999999525.3125,545.3125,900,120
136.8389584805901,999999718.75,118.75,400,0
279.9316664385078,999999410.625,40.625,600,30
222.84500326574144,999999379.0625,39.0625,600,60
113.28018824644448,999999298.125,103.125,700,105
253.46391567048838,999999145.625,90.625,900,45
217.18591751544224,999999045.0,275.0,1200,30
192.74303962387825,999999486.5625,101.5625,600,15
77.46470972288552,999999656.25,256.25,600,0
60.53790193699736,999999703.125,203.125,500,0
206.52495825461375,999999187.5,87.5,900,0
184.72463370299656,999999340.0,100.0,700,60
274.569738804827,999999298.125,128.125,800,30
99.44307262969096,999999160.625,90.625,900,30
37.783647882623185,999999367.8125,57.8125,600,90
89.21165505546229,999999516.875,146.875,600,30
274.8439998224256,999999603.75,218.75,600,15
243.41766090150824,999999621.875,81.25,700,75
22.589539004476112,999999493.75,93.75,600,0
75.53570518663253,999999267.5,212.5,900,45
146.66424574816378,999999430.625,90.625,600,60
234.92823114099903,999999371.875,146.875,700,75
272.34792202204295,999999382.5,312.5,900,30
291.2580360300848,999999365.0,125.0,700,60
192.84316443301316,999999538.75,168.75,600,30
159.89453945697605,999999196.25,56.25,800,60
129.74948632498757,999999433.125,178.125,700,45
168.15096944429212,999999417.1875,192.1875,700,75
241.2335237547079,999999443.125,203.125,700,60
231.33933323287704,999999719.375,234.375,500,15
17.0504878033416,999999359.375,59.375,700,0
231.26543904135795,999999518.125,253.125,600,135
198.32115047055197,999999260.625,90.625,800,30
226.61299734903565,999999050.3125,295.3125,1200,45
36.383287109713315,999999642.5,87.5,400,45
283.18291341413675,999999028.75,143.75,1100,15
84.34895229835885,999999631.875,146.875,500,15
146.9388282827671,999999498.75,43.75,500,45
200.53672982808243,999999406.25,206.25,800,0
229.01055183434846,999999608.125,153.125,500,45
58.99545333918177,999999570.0,100.0,500,30
172.5842788337547,999999688.125,103.125,400,15
77.72903300350002,999999593.75,193.75,600,0
265.9525997963945,999999189.375,134.375,900,45
299.1694492218755,999999238.75,68.75,800,30
37.29974945548375,999999066.875,196.875,1100,30
289.0827473362461,999999569.6875,29.6875,400,60
42.31271998427715,999999251.25,81.25,800,30
265.6426442650794,999999652.5,12.5,300,60
62.73340911231066,999999015.0,75.0,1000,60
34.29178742766533,999999351.25,81.25,700,30
131.11047525303255,999999520.625,65.625,500,45
231.61359678631854,999999077.8125,282.8125,1100,105
6.4268390226508085,999999970,0,0,30
272.72719962879125,999999088.75,118.75,1000,30
122.74070013898951,999999202.5,262.5,1000,60
181.71585892872466,999999333.75,93.75,700,60
202.10240752289167,999999076.875,121.875,1000,45
152.51520180269245,999999363.125,178.125,800,15
90.2967734326213,999999335.625,65.625,700,30
73.09939917440767,999998945.0,175.0,1200,30
251.48646959128925,999999296.875,196.875,900,0
135.54496402336204,999999449.375,109.375,600,60
149.2951371730932,999999441.875,371.875,900,30
270.1545641648058,999999589.0625,89.0625,500,0
5.966174394890587,1000000000,0,0,0
56.8882380130096,999999391.25,181.25,700,90
288.8637471904876,999999525.0,100.0,500,75
102.69758067618173,999999313.75,243.75,900,30
269.49978097452265,999999155.625,115.625,900,60
292.6312220181714,999999305.3125,320.3125,1000,15
261.83546761962464,999999351.875,171.875,700,120
