Bandwidth,Reward Earned
259.57484742159403,200
519.1496948431881,300
778.724542264782,700
1038.2993896863761,400
1297.8742371079702,300
1557.449084529564,300
1817.0239319511581,300
2076.5987793727522,300
2336.173626794346,200
2595.7484742159404,400
