Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
62.37917427699764,999999746.875,46.875,300,0
145.15203698509146,999999715.625,15.625,300,0
23.30766626184209,1000000790.25,15.625,300,16
117.58889901958521,999999686.75,56.25,500,32
7.370644475122431,1000000000,0,0,0
93.658346326795,999999753.125,53.125,300,0
194.81839785655342,1000000044.9375,50.0,100,16
25.148302599867375,999999890.25,6.25,100,16
246.4254108472016,999999880.875,9.375,200,16
77.39910103238238,999999984.8125,6.25,200,48
141.05629323184255,999999906.25,6.25,100,0
119.44977017194584,999999899.625,12.5,300,16
0.12891950322780954,1000000000,0,0,0
68.15652164410902,999999725.0,25.0,300,0
289.4384034671972,999999987.5,87.5,100,0
279.3142711909508,999999867.1875,67.1875,200,0
18.517519115519253,999999831.25,31.25,200,0
143.65312407067384,999999831.25,31.25,200,0
107.83991099301868,999999782.8125,82.8125,300,0
82.53675731167552,999999843.75,43.75,200,0
214.52735706099872,999999874.625,75.0,300,16
11.77291878802778,999999818.75,18.75,200,0
130.60821442672628,999999724.625,40.625,300,16
283.99954841535583,999999671.875,71.875,400,0
157.72963207555915,999999852.375,84.375,200,32
3.1411039235442986,1000000000,0,0,0
187.37356033499202,999999721.125,53.125,300,32
34.083663080825374,999999696.5,12.5,300,16
209.78467841231196,999999837.5,37.5,200,0
140.99081824060826,999999762.5,162.5,400,0
35.321262005001216,999999809.0,25.0,200,16
211.66678314192848,999999893.75,93.75,200,0
291.4172756853283,999999974.25,106.25,100,32
270.38255699661744,999999715.625,15.625,300,0
281.2918831000964,999999721.875,21.875,300,0
234.6243476059928,999999514.875,50.0,700,32
117.18077235214672,999999689.5,37.5,300,48
60.55087038303622,999999812.5,12.5,200,0
62.78585310399256,999999843.375,59.375,200,16
172.96621029867504,999999731.25,31.25,300,0
269.9338456594172,999999848.0625,64.0625,200,16
274.2480037802197,999999734.0,50.0,300,16
157.79391478045375,999999932.8125,32.8125,100,0
30.751949262196312,999999721.5,37.5,300,16
56.54902900404649,999999874.25,6.25,100,32
29.384730381755677,999999621.5,37.5,400,16
9.52625927992314,1000000000,0,0,0
295.0541297844543,999999607.875,71.875,400,64
164.75941152712917,999999538.6875,54.6875,500,16
273.3701933907841,999999993.375,109.375,100,16
212.29183983709993,999999767.25,31.25,200,64
127.45113508159407,999999628.125,28.125,400,0
69.07956497197424,999999565.625,65.625,500,0
171.58905600221297,999999718.75,18.75,300,0
223.26806961903594,999999825.0,25.0,200,0
199.31500240325,999999805.5,37.5,200,32
127.69657943496809,999999634.375,134.375,500,0
294.1150089948447,999999615.25,31.25,400,16
25.408112439033776,999999743.75,43.75,300,0
156.28682206113635,999999546.875,46.875,500,0
174.80463547981032,999999882.8125,182.8125,300,0
99.06000347931918,999999702.75,18.75,300,16
67.5137980812494,999999821.875,21.875,200,0
41.30764729762237,999999777.0,25.0,200,48
96.67371081285218,999999963.6875,79.6875,100,16
76.30153955969662,999999705.875,21.875,300,16
134.25659060347903,999999859.0,75.0,200,16
228.79628016044333,999999734.0,150.0,400,16
92.72506726756518,999999799.625,15.625,200,16
79.53304651058399,999999615.25,31.25,400,16
136.5997078007571,999999918.75,218.75,300,0
113.49772151058221,999999742.1875,42.1875,300,0
222.66983026654094,999999865.625,65.625,200,0
204.7069493441445,999999896.5,12.5,100,16
33.37762147767255,999999731.25,31.25,300,0
70.07808689592419,999999677.375,9.375,300,32
221.28876247033654,999999804.3125,20.3125,200,16
118.8590132485742,999999734.0,50.0,300,16
139.31050457421387,999999718.75,18.75,300,0
13.712968334536104,999999799.625,15.625,200,16
99.57725961808656,999999646.875,46.875,400,0
290.42700170473665,999999914.875,46.875,100,32
295.4022320338689,999999846.125,78.125,200,32
131.64112024674756,999999837.5,37.5,200,0
4.825122321028386,1000000000,0,0,0
125.22465011715884,999999540.25,56.25,500,16
139.5258821779461,999999546.5,62.5,500,16
101.81552061271755,999999834.0,50.0,200,16
5.745923975835281,1000000000,0,0,0
103.40353380475129,999999555.875,71.875,500,16
192.39441789392413,999999896.125,28.125,100,32
289.0651880075396,999999812.5,12.5,200,0
155.94652862428202,999999779.6875,79.6875,300,0
52.455408730256686,999999775.0,75.0,300,0
50.523593319063366,999999843.75,43.75,200,0
167.8280516945384,999999780.5,12.5,200,32
251.65342296780705,999999596.875,96.875,500,0
234.13670397321613,999999711.75,43.75,300,32
185.957191032711,999999756.25,56.25,300,0
183.59629867556166,1000000165.625,265.625,100,0
