Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
32.20835801689927,999999693.0,2500.0,2800,7
10.924902354232373,999999918.0,3225.0,3300,7
25.87972609458406,999995768.75,768.75,5000,0
19.657414108189545,1000003793.875,6921.875,3100,28
24.50569405754409,999998034.375,434.375,2400,0
14.099352291747994,999998055.5,762.5,2700,7
38.6247577371337,999999277.375,2384.375,3100,7
42.13325355630756,999997861.75,268.75,2400,7
16.821418316660463,999997743.75,1143.75,3400,0
30.918705188618198,1000000372.75,2593.75,2200,21
8.965027303239948,999997353.125,253.125,2900,0
20.484947278820105,1000000849.25,3756.25,2900,7
34.03875388544026,999998057.875,971.875,2900,14
30.158618485421542,999999107.875,2621.875,3500,14
18.78629601288329,999999932.125,2453.125,2500,21
40.84014521670626,999997833.625,440.625,2600,7
25.3372842606358,1000000701.625,2215.625,1500,14
17.507888905067855,999998282.875,596.875,2300,14
46.62335441018756,999997092.25,706.25,3600,14
14.170562260193938,999999864.125,3078.125,3200,14
38.583733833254755,999998284.375,384.375,2100,0
35.968294172099746,999996961.75,568.75,3600,7
2.5618234231013286,999996761.75,268.75,3500,7
20.708151883676244,999998525.0,725.0,2200,0
23.981576051014457,999996982.875,596.875,3600,14
23.68471620895555,999998268.75,368.75,2100,0
12.476133364085323,999997482.875,396.875,2900,14
17.466140851291943,999997366.5,387.5,3000,21
7.099905507540946,999997203.25,331.25,3100,28
40.15936188257331,999997654.0,575.0,2900,21
36.64963969518257,999996950.0,450.0,3500,0
46.30160207768239,999997800.875,321.875,2500,21
1.3154078276653123,999997585.25,1106.25,3500,21
5.0800200589978335,1000000741.5,3862.5,3100,21
43.85032762017114,999997805.5,712.5,2900,7
34.74387846293022,999997480.5,287.5,2800,7
25.948965107574676,999998440.625,540.625,2100,0
30.73059989107973,999998201.625,615.625,2400,14
44.54908770364831,999998430.5,1737.5,3300,7
33.63909569644111,999997755.5,562.5,2800,7
26.18723601223138,999997302.375,209.375,2900,7
1.7744029130453207,999997997.75,218.75,2200,21
36.5822936892716,999997114.875,621.875,3500,7
2.7267141629683347,999997239.125,153.125,2900,14
4.748868627067651,999997322.75,343.75,3000,21
20.868385902676316,999997596.125,1303.125,3700,7
18.822582533137428,999997470.375,584.375,3100,14
9.360554287950054,999996584.375,384.375,3800,0
30.28865118662423,999999159.375,1259.375,2100,0
9.362346683605582,999997337.5,237.5,2900,0
24.59003774446103,999996597.75,518.75,3900,21
33.396462657902454,999996981.25,481.25,3500,0
13.742274088738903,999997465.625,165.625,2700,0
18.665334703997857,999998684.375,784.375,2100,0
22.48251289507092,999996387.5,587.5,4200,0
23.535429015560275,999997265.625,265.625,3000,0
41.84942253240602,999996759.5,187.5,3400,28
39.06528891292568,999997818.75,318.75,2500,0
29.81410979658162,999997352.375,1059.375,3700,7
16.38036997067158,999998399.375,934.375,2500,35
42.6443932328173,999997886.75,293.75,2400,7
39.47841823712102,999996689.125,603.125,3900,14
35.62001617696928,999997527.375,834.375,3300,7
5.802858883253271,999997198.5,212.5,3000,14
39.32008173215486,999997901.625,715.625,2800,14
15.802425201806718,999997418.75,218.75,2800,0
14.303964412921172,999997790.625,590.625,2800,0
6.220753192957172,999997389.875,296.875,2900,7
23.116213560515742,999998118.75,518.75,2400,0
11.64413599430664,999997276.625,390.625,3100,14
38.245632775480026,999997578.25,206.25,2600,28
33.829057156135974,999997055.5,662.5,3600,7
25.446139302680272,999997593.0,600.0,3000,7
37.59757983893981,999997455.5,462.5,3000,7
33.106789958824194,999997982.875,1096.875,3100,14
13.107843963422585,999997995.375,709.375,2700,14
6.042412629634582,999997983.625,590.625,2600,7
20.469568764782974,999997340.625,340.625,3000,0
33.06114672049491,999996644.625,365.625,3700,21
30.634820871709216,999998371.125,778.125,2400,7
40.32554275686064,999997755.625,190.625,2400,35
20.814436428758757,999997899.25,706.25,2800,7
9.180320654946884,999998126.625,1440.625,3300,14
2.190208100260727,999997711.0,325.0,2600,14
30.24920058441667,999997464.875,1771.875,4300,7
6.3961685946497315,999997846.125,253.125,2400,7
26.4242555062367,999997399.25,406.25,3000,7
15.498447105631747,999997781.25,781.25,3000,0
13.14128177761273,999998578.125,478.125,1900,0
3.293238757050456,999996979.75,393.75,3400,14
36.835032644791056,999997859.375,859.375,3000,0
39.21722279844181,999997886.75,293.75,2400,7
3.790987017466439,999996787.5,287.5,3500,0
27.041859244808627,999998249.25,656.25,2400,7
4.670713826690453,999996762.5,262.5,3500,0
22.79500948094839,999997539.125,453.125,2900,14
48.91129270481496,999998448.5,1562.5,3100,14
34.51361847277,999998502.375,709.375,2200,7
37.763783634759044,999996971.125,278.125,3300,7
33.057949510677716,999997150.875,471.875,3300,21
