Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
346.5882456028657,999999475.0,100.0,500,0
30.374139669704288,1000000016.0625,18.75,300,32
191.41705728378122,1000000978.9375,59.375,300,32
165.4091752933294,999999623.875,31.25,400,16
177.2759857846915,999999983.625,56.25,200,16
82.43729052242722,999999546.5,34.375,300,16
183.88531781114503,999999768.375,21.875,100,16
238.3590721809437,999999601.1875,60.9375,200,16
95.98506155815588,999999815.25,3.125,100,0
181.6098246848358,999999687.125,25.0,400,0
52.27893853481557,999999455.5,56.25,200,16
114.77493155887338,999999690.25,187.5,200,16
197.59120919461293,999999599.25,25.0,200,32
177.46297395138387,999999702.375,31.25,200,32
230.3902245557297,999999478.125,25.0,300,0
34.51299374257075,999999234.0,43.75,400,16
79.21292636043664,999999505.125,12.5,200,0
287.28394175653847,999999663.6875,73.4375,300,16
94.01054838203927,999999114.875,50.0,800,16
46.85672050537163,999999508.25,12.5,100,16
13.394899877267767,999999699.625,12.5,200,0
223.97070214427535,1000000293.0,187.5,100,16
96.4108795983539,999999359.0,125.0,500,16
181.1954363649558,999999484.0,25.0,300,0
45.03602404085518,999999534.0,37.5,400,16
4.472364948758626,1000000000,0,0,0
105.84167396192814,999999392.25,18.75,300,64
207.91972964609798,999999511.0,46.875,100,16
171.92744870685172,999999499.625,78.125,200,0
178.52857850107196,999999851.25,53.125,200,48
196.75616861127855,999999820.3125,32.8125,200,0
99.32760449215208,999999264.5,81.25,400,32
104.0524525330319,1000000446.125,53.125,300,16
94.63138725078043,999999509.0,9.375,200,16
293.7122901799979,999999780.875,65.625,100,0
230.13514454841354,999999812.125,303.125,300,16
165.2475097896349,999999858.625,50.0,200,16
90.63300167580296,999999462.5,18.75,400,0
270.5096503450098,999999694.1875,82.8125,300,32
124.9476570735633,999999505.5,150.0,300,0
4.306999708406145,999999984,0,0,16
234.68817820146504,999999599.625,87.5,400,16
262.3552485034716,999999771.875,21.875,100,0
71.51672197843223,999999612.125,9.375,200,16
70.69640436849203,999999302.375,12.5,200,16
192.00524692328375,999999640.625,34.375,300,0
137.61094866931708,999999739.875,162.5,200,0
243.39620084901026,999999502.0,34.375,300,16
184.66895824640497,999999617.625,31.25,200,32
266.31711302069476,999999341.8125,179.6875,400,16
126.85300634144461,999999373.5,15.625,300,48
50.93728733376811,999999490.25,18.75,200,16
272.3699723217337,999999788.6875,139.0625,100,0
20.36243434851783,999999618.0,12.5,200,32
153.25769197935773,999999696.875,81.25,200,0
133.94056478033187,999999687.125,134.375,200,0
282.3761154814715,999999568.75,71.875,400,0
290.26982856574034,999999602.75,9.375,200,16
140.11504257507346,999999450.0,31.25,400,0
124.49118881085607,999999646.875,87.5,300,0
27.050745219753864,999999490.25,31.25,100,16
199.16972235464291,999999712.5,50.0,200,0
112.67274057318853,999999142.25,131.25,300,16
140.99622645925203,999999446.5,31.25,300,16
103.87887249783773,999999537.125,28.125,200,16
257.9367069471924,999999233.25,28.125,300,32
158.92992266919924,999999271.875,53.125,600,0
186.14703532672462,999999479.0,18.75,100,32
80.20945974421412,999999486.75,31.25,400,32
149.6313485715238,999999599.25,9.375,100,16
298.732624593277,999999328.125,31.25,500,0
154.2080416906971,999999793.0,6.25,100,32
79.00473041754128,999999518.375,9.375,300,16
78.91096190491619,999999527.375,31.25,100,16
273.44627627778766,999999435.5625,17.1875,400,0
215.12692075632273,999999724.625,12.5,200,16
8.376895580824913,999999689.5,12.5,100,16
157.56344482912013,999999598.0625,195.3125,300,0
237.15191252685395,999999328.125,121.875,600,0
66.71509232465031,999999355.5,43.75,400,0
201.96107217648412,999999615.25,12.5,200,0
64.56730700314436,999999452.375,25.0,300,16
83.75712479109895,999999246.5,31.25,500,16
241.78704745508006,999999633.625,56.25,300,16
290.13449144282725,999999540.25,59.375,300,16
226.76601949257235,999999543.375,40.625,300,16
218.66892029874597,999999621.875,6.25,200,0
15.783005703488339,999999480.875,59.375,400,0
110.6668843948383,999999639.875,112.5,400,0
195.40715346351354,999999355.875,50.0,300,0
288.24190942242,999999524.25,25.0,300,32
235.64372343961264,999999445.3125,29.6875,400,0
87.03893485765091,999999592.625,21.875,300,32
230.3675992366201,999999580.125,12.5,200,32
74.9519501278492,999999314.875,6.25,200,32
78.11972130651591,999999472.6875,67.1875,300,16
166.90347942928256,999999742.625,53.125,100,32
206.26229210975487,999999617.25,28.125,100,64
97.44860203959654,999999580.125,3.125,100,16
57.08270764181832,999999231.25,118.75,700,0
